name,address,state,activity_type,installed_capacity_mta,status,source
E-Front Line Recyclling Pvt. Ltd.,"Shed No. C1B-905/9, GIDC, Panoli, Tal: Ankleshwar, Distt: Bharuch, Gujarat- 394116",Gujarat,E-waste recycler/dismantler,2700,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Dron E-Waste Solution,"Plot No. 56, G.I.D.C., Gozariya, Tal & Distt: Mehsana, Gujarat- 382825",Gujarat,E-waste recycler/dismantler,975,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Eximo Recycling Pvt. Ltd.,"Plot No. 5/3, Raj Industrial Estate, Tal: Savli, Vadodara",Gujarat,E-waste recycler/dismantler,900,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Galaxy Recycling,"Sr. No. 36/P1, P2, 37/P2, 38/P2, Plot No. 52 &53, Near Tirth Agro. Pvt. Ltd., At: Bharudi, Tal: Gondal, Rajkot",Gujarat,E-waste recycler/dismantler,521,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Basant Clean Enviro Ltd.,"Plot No. 67, G.I.D.C., Kadi, Distt: Mehsana, Gujarat- 382715",Gujarat,E-waste recycler/dismantler,5400,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Eco Green Recycling,"Plot No. 4, Near Dynamic Textile, Ozar Road, Mota Ponda, Kapaada, Distt: Valsad, Gujarat",Gujarat,E-waste recycler/dismantler,500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Unicare E-Waste Recycler,"Plot No. 9/1, Raj Industrial Park-III, Jarod-Savali Road, Karachiya, Tal: Savli, Distt: Vadodara- 391520",Gujarat,E-waste recycler/dismantler,1500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Surbine Recycling (P) Ltd.,"Plot No. 765, GIDC Phase-II, Dared- 361004, Distt: Jamnagar",Gujarat,E-waste recycler/dismantler,1500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Greentech Recycling,"Plot No. 5&6, Maharaja Estate, B/H: Ananad hotel, Sarkhej-sanand Road, Ahmedabad",Gujarat,E-waste recycler/dismantler,702,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Dinesh Appliances,"Plot No: 10, R. K. Ind Estate, Rakhiyal, Ahmedabad",Gujarat,E-waste recycler/dismantler,360,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Mahammad Salim & Brothers,"Near Umiya Weigh Bridge, GIDC-Sachin, Tal: Chorasi, Dist: Sachin-394230",Gujarat,E-waste recycler/dismantler,600,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Electro Waste Solutions,"Plot no: 631, GIDC-Halol, Dist: Panchmahal",Gujarat,E-waste recycler/dismantler,480,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Felix Industries Pvt Ltd,"Plot No:123, Devraj Industrial Park, 200 ft Ring Road, Piplaj-Pirana Road, Piplaj- 382405, Dist: Ahmedabad",Gujarat,E-waste recycler/dismantler,375,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Ecotime Industries,"Plot No: 98 & 99, Sparkle Industrial Estate, Tal: Jalalpor, Dist: Navsari - 396436",Gujarat,E-waste recycler/dismantler,144,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Sharda Copper,"Plot No: SME-06, Bardoli-2, (Miyawadi) Industrial Estate, Bardoli, Surat-394601",Gujarat,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Bharuch Enviro Infrastructure Ltd (Beil),"Plot no: 9701-16, 9801-28, 9901-28, 9601-04, 10001-10008, G-7 & 8, 7924-27, 9401-9412, 9501-9506, 7905 E to H, GIDC, Ankleshwar-393002, Ta: Ankleshwar, Dist: Bharuch",Gujarat,E-waste recycler/dismantler,700,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Star Recycling,"Survey no: 44 P1P1 44P1P2 & 46, Plot no: 45, R K Industrial Zone-09, Kuwadva-Wankaner Road, Ranpur-360023, Tal & Dist: Rajkot",Gujarat,E-waste recycler/dismantler,629,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
R Planet Integrated Solution Pvt. Ltd,"Plot no: 201, 202 (old block no. 264,265 paiki 1), Village: Zak-382330, Tal: Dahegam, Dist: Gandhinagar",Gujarat,E-waste recycler/dismantler,11450,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Payas Recyclers,"Survey No.2139, Plot No.28, Parshwa Industrial Park, B/H. Sandvik Asia, Ahmedabad-Mehsana Highway, Rajpur-382740, Tal:Kadi, Dist: Mehsana",Gujarat,E-waste recycler/dismantler,1158,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
ID Technocom,"Plot No.C1-414/P, GIDC Estate Mansa, Visnagar Road, Vill-Mansa, Mansa 382845, Dist: Gandhinagar",Gujarat,E-waste recycler/dismantler,240,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Unity E-Recycling Co,"Sr. No: 310/p, Plot No: 4, Danilimda, Ahmedabad-380028",Gujarat,E-waste recycler/dismantler,383,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Mahaarana Industries Pvt. Ltd.,"Survey No. 466 & 475, Village: Timba, Ta: Daskroi, Dist: Ahmedabad",Gujarat,E-waste recycler/dismantler,16585,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
GL Recycling LLP,"Survey No. 108, Village: Soliya, Ta.: Kotda Sangani, Dist.: Rajkot-360030",Gujarat,E-waste recycler/dismantler,14500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Electro Alloys Recycling And Transformation HUB,"Plot No. 301/13, GIDC Palej-392220, Bharuch",Gujarat,E-waste recycler/dismantler,780,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Reart Recycling Private Limited,"Plot No.365, Survey No.111p1, Golden Green Industrial Park (phase-D), Khambha-360311, Tal:Lodhika, Dist:Rajkot",Gujarat,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Tvarita Phones Pvt. Ltd.,"Plot No.171, Survey No. 846, N. H. 8, Vapi, Valsad-396191",Gujarat,E-waste recycler/dismantler,600,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Kalpana E-Recyclers,"Plot No. 2486, Madhuban Industrial Park, Village: Kuha, Ta: Daskroi, Dist: Ahmedabad",Gujarat,E-waste recycler/dismantler,876,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Enviro Green Recycling,"Survey/Block No. 736/737, Village: Tarsadi., Ta: Mangrol, Dist: Surat -394125",Gujarat,E-waste recycler/dismantler,12775,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Liberty Recycling,"Survey No.1439, Old Survey No.256/1/5, Near Balda Industrial Park, Village: Balda, Tal: Pardi, Dist: Valsad",Gujarat,E-waste recycler/dismantler,893,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Green Earth Management Company,"Plot No. 13, Supreme-3 Industrial Park, Near Vibrant weighbridge, Zak-Kadadara Road, Vill.: Kadadara, Tal-Dahegam, Gandhinagar",Gujarat,E-waste recycler/dismantler,893,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Gujarat Green Recycling,"Plot No. MSME-500, Sanand-II, Engineering Industrial Estate, GIDC Sanand-II, Dist:Ahmedabad",Gujarat,E-waste recycler/dismantler,375,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
New India Sales Corporation,"Plot No. C1B-1915, GIDC Panoli, Dist: Ankleshwar-394116",Gujarat,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Technogreen Recycling Private Limited,"Survey No.367-377, Village-Modasar, Tal-Sanand, Distt.Ahmedabad-382481",Gujarat,E-waste recycler/dismantler,14400,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Evergreen E Waste Management Pvt. Ltd.,"Plot No.: 30, 31, Kamla Amrut Industrial Park, At: Budasan kadi, Taluka & Dist.: Mehsana - 382715",Gujarat,E-waste recycler/dismantler,12000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Egnus Ewaste Solution Private Limited,"Plot No.31, Village: Motwan, Tal: Ankleshwar, Dist.: Bharuch- 393020",Gujarat,E-waste recycler/dismantler,30000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Global E Waste Management Systems,"Shop No 729/s-1 to 729/s-5, Sonum Township Nessai Salcete - Goa",Goa,E-waste recycler/dismantler,103,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Group Ten Plus,"H. No. 8/5, Abreovaddo, Saligao, Bardez, Goa",Goa,E-waste recycler/dismantler,50,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Honey Disposal Store,"Plot No. 67-68 Jarrout Road, Village Mandour Industrial Area Ambala city",Haryana,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Thapar Disposal Industries,"902A/5/6, Chara Mandi Road, Ambala City",Haryana,E-waste recycler/dismantler,1825,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Mittal Battery,"Plot No. 349, Indl-Area, Ph-1, Panchkula",Haryana,E-waste recycler/dismantler,3600,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Exigo Recycling Pvt. Ltd.,"G. T. Road, Samalkha Panipat",Haryana,E-waste recycler/dismantler,6000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Exigo Recycling (P) Ltd.,"Barsat Road, Panipat",Haryana,E-waste recycler/dismantler,18000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Adinath Recyclotronix (P) Ltd.,"Plot No.#361, Industrial Estate, HSIIDC, Panipat",Haryana,E-waste recycler/dismantler,1080,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Earth Waste Management Pvt. Ltd.,"Vill-Ismaila, Distt. Rohtak",Haryana,E-waste recycler/dismantler,600,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Giriraj Metal,"P. No. 39 HSIIDC, IE, Kutana, Rohtak",Haryana,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Green World International Pvt. Ltd.,GR 60-61 Ganpati Industrial Dham Industrial Area Bahadugarh Haryana,Haryana,E-waste recycler/dismantler,5000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Renu Recycling Company,"Plot No. 1257, MIE-B, Bahadurgarh",Haryana,E-waste recycler/dismantler,1800,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
AMN E-Waste Management Pvt Ltd.,"Plot No. 171, Sector-59, Industrial Area, Faridabad",Haryana,E-waste recycler/dismantler,290,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Endeavor Re-processor and Recyclers India,"Plot no. 323, Sec-24, Industrial Area, Faridabad",Haryana,E-waste recycler/dismantler,365,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
E-waste Solutions,"Industrial Shed, 1A, Industrial Estate, Sec-6, Faridabad",Haryana,E-waste recycler/dismantler,1000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
V S Enterprises,"Plot no. 9, Pragati Vihar, Sector-59, Faridabad",Haryana,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Dotline Informatics Pvt. Ltd.,"Plot No. 302, Ph-V, HSIIDC, Indl. Estate, Rai, Distt. Sonipat",Haryana,E-waste recycler/dismantler,350,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
RBH E-Waste Recycle Hub Pvt. Ltd.,"Plot No. 130, HSIIDC, Rai, Distt. Sonipat",Haryana,E-waste recycler/dismantler,912.5,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Global Waste Solution,"Village Ram Nagar, Tehsil Ganaur, Distt. Sonipat",Haryana,E-waste recycler/dismantler,9490,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Global Waste Solution Unit-II,"Village Dhaturi Tehsil Ganaur, Distt. Sonipat",Haryana,E-waste recycler/dismantler,8249,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Tes Amm (India) Pvt. Ltd.,"Village Wazidpur Saboli, Distt. Sonepat",Haryana,E-waste recycler/dismantler,12000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Bluenvir,"81, HSIIDC, Rai, Distt. Sonipat",Haryana,E-waste recycler/dismantler,435,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Earth Sense Recycle Pvt Ltd,"Plot No. 100, Sector-5, IMT Manesar, Gurgaon",Haryana,E-waste recycler/dismantler,2160,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Nirvana Recycling Pvt. Ltd.,"Plot No. D-6, Udyog Vihar, Phase-VI, Sector-37, Gurugram",Haryana,E-waste recycler/dismantler,6030,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Green Vortex Waste Management Pvt Ltd.,"Plot No 177, Sector 7, IMT Manesar",Haryana,E-waste recycler/dismantler,1500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
SMS Enterprises,"Plot No. 544-D, First Floor, Sector-37, Pace City-II, Gurgaon",Haryana,E-waste recycler/dismantler,360,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Apicem Recyclers Pvt. Ltd.,"Plot No. 359, Sector-8, IMT Manesar, Gurugram, Haryana",Haryana,E-waste recycler/dismantler,510,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
KM Global E-Waste Private Limited,"Ground Floor Plot no.-359, Sector-8, IMT Manesar, Gurugram, Haryana",Haryana,E-waste recycler/dismantler,510,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
3 R Recycler,"Plot No. 392, Sector-8, IMT Manesar Gurgaon",Haryana,E-waste recycler/dismantler,2994,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Deshwal Waste Management Pvt Ltd,"Plot No-292, Sec-7, IMT Manesar, Gurgaon, Haryana",Haryana,E-waste recycler/dismantler,11800,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Deshwal Waste Management Pvt Ltd (Unit-2),"Plot No. 116, Sec-8, IMT Manesar, Gurgaon, Haryana",Haryana,E-waste recycler/dismantler,4652.1,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Namo E-Waste Management Ltd.,"14/1, Mathura Road, Faridabad Haryana",Haryana,E-waste recycler/dismantler,5796,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
E Waste Recyclers India,Shed no. 15 Roz Ka Meo Industrial Area Nuh,Haryana,E-waste recycler/dismantler,667,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Radhey Steel Traders,"Vill. Patvi Barara Road, Shahabad, Distt. Kurukshetra",Haryana,E-waste recycler/dismantler,600,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Pegasus Waste Management Pvt. Ltd.,"Village-Bhora Kalan, Gurugram",Haryana,E-waste recycler/dismantler,13134,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
3 R Zero Waste Pvt. Ltd.,"Plot No.-62, Sector-8, IMT Manesar",Haryana,E-waste recycler/dismantler,500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Ecoverva Waste Recycling Private Limited,"Plot No. 350 Block C Village Pathreri Ansal Pioneer Industrial Park, Distt. Gurgaon",Haryana,E-waste recycler/dismantler,353.07,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Naturevolt Recyclers India Pvt Ltd,"Plot No. 323, Part-IV, Sector-24, Faridabad",Haryana,E-waste recycler/dismantler,5400,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
AV Green Solutions Pvt Ltd.,"Plot No. 274, Sector-24, Industrial Area, Faridabad",Haryana,E-waste recycler/dismantler,381,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Re Chakra Waste Management LLP,"Plot No.-18, Sector-6, Faridabad",Haryana,E-waste recycler/dismantler,8931,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
CLG Projects LLP,Plot no 75-76 sector 59 pragati vihar Ballabgarh faridabad,Haryana,E-waste recycler/dismantler,450,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
SSL E Waste Management LLP,"Plot No. 410, Sector-68, IMT, Faridabad",Haryana,E-waste recycler/dismantler,423,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Shunty Disposal Store,"Manmohan Nagar, G.T Road, Ambala city",Haryana,E-waste recycler/dismantler,900,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Green Wealth Solutions Pvt. Ltd.,"Plot No. 109, IE, Kutana, HSIIDC, Hissar Road, Rohtak",Haryana,E-waste recycler/dismantler,690,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Endeavor Recyclers India Private Limited,"71//14/2/2, 71//15/1, Village Hassangarh, Tehsil-Sampla, District-Rohtak, Haryana-124404",Haryana,E-waste recycler/dismantler,28350,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Shivalik Solid Waste Management Ltd. (Unit-II),"Village-Shabowal, Tehsil Nalagarh, District-Solan HP",Himachal Pradesh,E-waste recycler/dismantler,1000,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Ortech India Corporations,"Plot No. 67-B, Industrial Estate, Lodhi Majra, Baddi",Himachal Pradesh,E-waste recycler/dismantler,500,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
VRG Groups,Gangyal,Jammu & Kashmir,E-waste recycler/dismantler,135,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Bashir Ahmad Babdemb,Srinagar,Jammu & Kashmir,E-waste recycler/dismantler,285,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Bashir Enterprises Noorbagh,Srinagar,Jammu & Kashmir,E-waste recycler/dismantler,285,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Meliorate Lubes Pvt Ltd,"Plot No. 606/A, Ward No. 4/34, Vikas Nagar, Hesal Piska More, Ranchi Jharkhand - 834005",Jharkhand,E-waste recycler/dismantler,300,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Simran Infotech,"Vill & P.O Kanak Chas, P.S. Chandan Kiari, Dist. Kokaro Jharkhand-828134",Jharkhand,E-waste recycler/dismantler,360,Authorized,CPCB-affiliated national authorization list (ndmc.gov.in)
Sriram Eco Raksha Computer Services Pvt. Ltd.,"No. B-29, KSSIDC Indl. Estate, Bommasandra, Hosur Road, Anekal Taluk, Bangalore - 560 099",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Friendly Waste Recyclers,"First Floor, No. 17 1st, Cross, Azeez Sait Industrial Town, Nayandahalli, Bangalore-560039",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Eco Globe E-Waste Recyclers,"Plot No. 87, 2nd Phase, 2nd Sector, Bidadi Industrial Area, Bidadi Hobli, Ramanagra Taluk and District",Karnataka,E-waste recycler/dismantler,1200,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Hasiru,"No. 168/B, 1st Floor, 7th Main Road, 3rd Phase, Peenya Industrial Area, Bangalore - 558",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Green Enabled IT Solutions Pvt. Ltd.,"No. 2/1, 27th Cross, Behind Krishna Grand Hotel, Banashankari 2nd Stage, Bengaluru",Karnataka,E-waste recycler/dismantler,600,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Coral Waters,"No. 8E, KIADB Industrial Area, Hoskote Taluk, Banglaore Rural District",Karnataka,E-waste recycler/dismantler,720,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Royal Touch,"No. 3/2, 2nd Cross, Ezakiel Industrial Estate, K. G Halli, Nagawara Main Road, Banglaore",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Pharmateck Consultancy,"Sy. No. 40/1, Mangammanapalya, Bommanahalli",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Cerebra Integrated Technologies Ltd.,"Plot No. 41 to 46, Appasandra village, KIADB Indl. Area, Narasapura Hobli, kolar Taluk and District",Karnataka,E-waste recycler/dismantler,39000,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
AGK Enterprises,"Unit-I, No 33/A, Industrial ""A"" Layout, Bannimantap, Mysore - 570015",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Aptus Recycling Pvt. Ltd.,"Sy No. 241/4B, Magnur Village, Kirgavalu Hobli, Malavalli Taluk Mandya District- 571430",Karnataka,E-waste recycler/dismantler,300,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Parisara Pvt. Ltd.,"No. 30-P3, Dabaspet Bangalore",Karnataka,E-waste recycler/dismantler,9288,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
Tech Logic,"Unit-2, Shed No. 36, 2nd Main, Ranganathapura, Bangalore - 560 044",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
E-Scrapy Recyclers,"No.106, Andrahalli Main Road, Byreshwara Industrial Area, Peenya 2nd stage, Bangalore - 560 058",Karnataka,E-waste recycler/dismantler,720,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
KH E-Waste Recyclers,"No. 104, 1st Main Road, 4th Cross, Azeez Sait Industrial Area, Nayandahalli, Bangalore - 39",Karnataka,E-waste recycler/dismantler,360,Authorized,"Official CPCB-affiliated national authorization list (user-uploaded PDF, as on 08-06-2023)"
