name,address,state,activity_type,installed_capacity_mta,status,source
"Moogambigai Metal Refineries","No 89 & 90 Industrial Area, Baikampady Mangalore- 575011",Karnataka,E-waste recycling,1248,Working,CPCB-affiliated state list
"Greenscape Eco Management Pvt Ltd","Plot No R-12, Veerasandra Indl Area, Anekal Tq, Bangalore Urban District - 100",Karnataka,E-waste dismantler,600,Working,CPCB-affiliated state list
"Ash Recyclers","No. 94, Thimmaiah Road, Bangalore - 01",Karnataka,E-waste recycler,,Working,CPCB-affiliated state list
"Eco Bird Recycling Company Pvt. Ltd.","No. 185, Azeez Sait Industrial Area, Nayandahalli, Mysore Road, Bangalore - 39",Karnataka,E-waste recycler,360,Working,CPCB-affiliated state list
"Eco-Recycling Ltd.","Eco-House, Near Top Glass Enclave, Bhoipada, Near Range Office, Sativali Road, Vasai (E), Dist. Palghar",Maharashtra,E-waste recycler,7200,Working,CPCB-affiliated national list
"Hi-Tech Recycling (I) Pvt. Ltd","Property No.193, Gat No. 89, Pune-Satara Road, Shindewadi, Tal: Bhor, Dist: Pune",Maharashtra,E-waste recycler,1410,Working,CPCB-affiliated national list
"Techeco E-Waste Namo LLP","Gat No. 155 B/2, Village Dhakambe, Tal. Dindori, Dist. Nashik",Maharashtra,E-waste recycler,9360,Working,CPCB-affiliated national list
"Evergreen Recyclekaro India Pvt. Ltd.","Gut. No. 113/A, Village Pali, Tal. Wada, Dist. Palghar",Maharashtra,E-waste recycler,7500,Working,CPCB-affiliated national list
"Earth Sense Recycle Pvt. Ltd.","A7, Gala No.1,2 & 3, Ground Floor, Prerana Complex, Val Village, Dapoda Road, Anjurphatta, Bhiwandi, District-Thane",Maharashtra,E-waste recycler,750,Working,CPCB-affiliated national list
"Greenscape Eco Management Private Limited","MIDC Chakan Industrial Area (Ph-II), Pune - 410501",Maharashtra,E-waste recycler,900,Working,CPCB-affiliated national list
"GNG Electronics Pvt. Ltd.","Sr. No. 54, Hissa No. Dahisar Rd, Pimpri, Tal. & Dist. Thane",Maharashtra,E-waste recycler,750,Working,CPCB-affiliated national list
"Amiable Electroning Pvt. Ltd.","Plot No. D-141, Shirawane, TTC Industrial Area, MIDC Shiewane, Nerul, Navi Mumbai",Maharashtra,E-waste recycler,750,Working,CPCB-affiliated national list
"ARSH RECYCLING PRIVATE LIMITED","GAT No. 1750, RANJANGAON GANPATI, PUNE NAGAR ROAD, Ranjangaon Ganpati, Pune - 412209",Maharashtra,E-waste recycler,2400,Working,CPCB-affiliated national list
"Just Dispose Recycling Pvt. Ltd.","Unit No: 103,110,119, Arvind Industrial Estate, Navghar, Vasai (E), Dist: Thane",Maharashtra,E-waste recycler,1200,Working,CPCB-affiliated national list
"Green IT Recycling Center Pvt Ltd","Plot No. D-222, MIDC Ranjangaon, Dist.- Pune - 412209",Maharashtra,E-waste recycler,365,Working,CPCB-affiliated national list
"Bombay Recyclers Pvt. Ltd.","Gala No. P-17-18, S. No. 121/2, Balaji Industrial Park, Behind Hindalco Co. MIDC Taloja, Panvel, Dist. Raigad",Maharashtra,E-waste recycler,200,Working,CPCB-affiliated national list
"ECO RESET PRIVATE LIMITED","PLOT NO. 19/1, MOUZA BHOWARI, KAMPTEE, NAGPUR, MAHARASHTRA - 441001",Maharashtra,E-waste recycler,10200,Working,CPCB-affiliated national list
"Suritex Pvt. Ltd.","Plot No. B-111, MIDC Industrial Area, Butibori, District - Nagpur",Maharashtra,E-waste recycler,360,Working,CPCB-affiliated national list
"Trekomac Refurbs Pvt. Ltd.","Plot No, G-3, Five Star MIDC Kagal Hatkanangale, Tal. Kagal, Dist. Kolhapur",Maharashtra,E-waste recycler,400,Working,CPCB-affiliated national list
"Perfect E-Waste Recyclers","Plot No. A-8/1, MIDC Chikhalthana, Tal. & Dist. Aurangabad",Maharashtra,E-waste recycler,184,Working,CPCB-affiliated national list
"Kohinoor E-Waste Recycling Pvt. Ltd.","Gut No. 205/1 and 205/2, Opp. Gurudatta Washing Centre, Dhekhu, Khalapur, Dist. Raigad",Maharashtra,E-waste recycler,240,Working,CPCB-affiliated national list
"Reteck Envirotech Pvt. Ltd.","Plot No. 4 A, MIDC Taloja, Tal. Panvel, Dist. Raigad",Maharashtra,E-waste recycler,2500,Working,CPCB-affiliated national list
"S.K. Enterprises","Plot No: 134 Paiki Sub Plot No.-1, Ahmednagar Industrial Estate Co-Op. Society Ltd, Nagpur-Pune Road, Ta & Dist - Ahmednagar-414005",Maharashtra,E-waste recycler,5000,Working,CPCB-affiliated national list
"Wonder Print Technologies","Plot No. M-36, MIDC Ambad, Dist. Nashik",Maharashtra,E-waste recycler,300,Working,CPCB-affiliated national list
"Kerala Enviro Infrastructure Ltd","E Waste Dismantling Facility, Common TSDF project, Inside Fact-CD Campus, Ambalamedu, Kochi 682303",Kerala,E-waste dismantler,1200,Working,CPCB-affiliated national list
"Virogreen India Pvt. Ltd.","No. 297/1B2, No. 49, Pappankuppam Village, SR Kandigai Road, Gummidipoondi Taluk, Tiruvallur-601201",Tamil Nadu,E-waste recycler,15000,Working,CPCB-affiliated national list
"Earth Sense Recycle Private Limited","Survey No. 247, Kanttankulathur Panchayat, Thenmelpakkam Village, Singaperumal Kovil, Kanchipuram, Tamil Nadu- 603204",Tamil Nadu,E-waste recycler,4248,Working,CPCB-affiliated national list
"Trishyiraya Recycling India Pvt. Ltd.","Plot No.A-7, Phase-I, MEPZ-SEZ, Tambaram, Chennai-600 045",Tamil Nadu,E-waste recycler,3100,Working,CPCB-affiliated national list
